country,ISO3C,imfcode,year,flow,USD,EUR,Home,Other,Unclassified,Other_Excl_USDEUR
Egypt,EGY,469,2017,Export,88.77007258708915,9.608942117473822,,,0.0,1.6209852695465088
Egypt,EGY,469,2017,Import,85.04120352276561,12.959270130203,,,0.0,1.9995263814926147
Egypt,EGY,469,2018,Export,88.83166902583565,9.71614384698293,,,0.0,1.452187180519104
Egypt,EGY,469,2018,Import,84.11362125105721,13.50064794920701,,,0.0,2.385730743408203
Egypt,EGY,469,2019,Export,87.80705907242218,10.53968763196909,,,0.0,1.6532533168792725
Egypt,EGY,469,2019,Import,81.02545279246313,13.444039328545548,,,0.0,5.530508041381836
Estonia,EST,939,1999,Export,18.899999618530273,53.900001525878906,0.0,27.19999885559082,0.0,27.19999885559082
Estonia,EST,939,1999,Import,20.600000381469727,59.400001525878906,0.0,19.999998092651367,0.0,19.999998092651367
Estonia,EST,939,2000,Export,14.800000190734863,63.29999923706055,0.0,21.900001525878906,0.0,21.900001525878906
Estonia,EST,939,2000,Import,21.299999237060547,58.400001525878906,0.0,20.299999237060547,0.0,20.299999237060547
Estonia,EST,939,2001,Export,14.0,53.79999923706055,0.0,32.20000076293945,0.0,32.20000076293945
Estonia,EST,939,2001,Import,25.700000762939453,53.900001525878906,0.0,20.39999771118164,0.0,20.39999771118164
Estonia,EST,939,2002,Export,10.699999809265137,65.30000305175781,0.0,23.999996185302734,0.0,23.999996185302734
Estonia,EST,939,2002,Import,21.100000381469727,59.29999923706055,0.0,19.600000381469727,0.0,19.600000381469727
Estonia,EST,939,2003,Export,9.0,70.30000305175781,0.0,20.699996948242188,0.0,20.699996948242188
Estonia,EST,939,2003,Import,22.0,61.5,0.0,16.5,0.0,16.5
Estonia,EST,939,2004,Export,10.899999618530273,65.69999694824219,0.0,23.40000343322754,0.0,23.40000343322754
Estonia,EST,939,2004,Import,20.299999237060547,59.70000076293945,0.0,20.0,0.0,20.0
Estonia,EST,939,2005,Export,14.699999809265137,60.29999923706055,0.0,25.0,0.0,25.0
Estonia,EST,939,2005,Import,17.299999237060547,59.0,0.0,23.700000762939453,0.0,23.700000762939453
Estonia,EST,939,2006,Export,21.600000381469727,55.099998474121094,0.0,23.30000114440918,0.0,23.30000114440918
Estonia,EST,939,2006,Import,20.799999237060547,56.099998474121094,0.0,23.10000228881836,0.0,23.10000228881836
Estonia,EST,939,2007,Export,17.700000762939453,57.79999923706055,0.0,24.5,0.0,24.5
Estonia,EST,939,2007,Import,19.399999618530273,58.5,0.0,22.100000381469727,0.0,22.100000381469727
Estonia,EST,939,2008,Export,16.0,59.099998474121094,0.0,24.900001525878906,0.0,24.900001525878906
Estonia,EST,939,2008,Import,20.200000762939453,59.099998474121094,0.0,20.700000762939453,0.0,20.700000762939453
Estonia,EST,939,2009,Export,16.14549446105957,60.01920700073242,0.0,23.835298538208008,0.0,23.835298538208008
Estonia,EST,939,2009,Import,17.54079818725586,59.2488899230957,0.0,23.210311889648438,0.0,23.210311889648438
Estonia,EST,939,2010,Export,15.634781837463379,61.524620056152344,0.0,22.840599060058594,0.0,22.840599060058594
Estonia,EST,939,2010,Import,18.415199279785156,59.11714553833008,0.0,22.467655181884766,0.0,22.467655181884766
Estonia,EST,939,2011,Export,15.95878791809082,62.537174224853516,0.0,21.504037857055664,0.0,21.504037857055664
Estonia,EST,939,2011,Import,21.459102630615234,56.84309768676758,0.0,21.697799682617188,0.0,21.697799682617188
Estonia,EST,939,2012,Export,13.398781776428223,64.38933563232422,0.0,22.211883544921875,0.0,22.211883544921875
