"COUNTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2009","-239365380577.672"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2010","-446395950633.0324"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2011","-525863244936.9295"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2012","-448029605729.3325"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2013","-400080287205.7765"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2014","-297076526202.5175"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2015","-386414565601.2112"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2016","-362412102184.5556"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2017","-373248243524.9911"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2018","-302858722223.6215"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2019","-558352903905.1012"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2020","-671973479882.2154"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2021","-825576769226.3"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2022","-875624948980.767"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2023","-1073034260997.675"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2024","-1128598309637.585"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","1970","-548590000"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","1971","-11748484444.90195"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","1972","-2669319363.96213"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","1973","-4191113253.382081"
